Date,Time,Open,High,Low,Close,Volume
2016.09.22,02:00,100.38900,100.46300,100.33600,100.40100,2213
2016.09.22,03:00,100.39700,100.41400,100.35800,100.38100,916
2016.09.22,04:00,100.38100,100.39300,100.25300,100.25500,1150
2016.09.22,05:00,100.25500,100.39500,100.18400,100.37500,1274
2016.09.22,06:00,100.37400,100.45600,100.20800,100.42100,2829
2016.09.22,07:00,100.42200,100.70600,100.34600,100.65500,3584
2016.09.22,08:00,100.63500,100.83800,100.55000,100.79000,3101
2016.09.22,09:00,100.79100,100.85700,100.61400,100.71100,2754
2016.09.22,10:00,100.70900,100.82800,100.68200,100.73300,2189
2016.09.22,11:00,100.73400,100.79700,100.65300,100.74300,1965
2016.09.22,12:00,100.74500,100.83400,100.54400,100.55400,3557
2016.09.22,13:00,100.55200,100.86700,100.52100,100.83600,3576
2016.09.22,14:00,100.83900,100.87100,100.69900,100.79900,3666
2016.09.22,15:00,100.80000,100.89900,100.75400,100.79800,2010
2016.09.22,16:00,100.79900,100.82300,100.70100,100.79500,1460
2016.09.22,17:00,100.79600,100.80200,100.70300,100.78000,1582
2016.09.22,18:00,100.78200,100.92000,100.78000,100.88800,1628
2016.09.22,19:00,100.88700,100.88700,100.76500,100.78700,923
2016.09.22,20:00,100.78600,100.78600,100.73700,100.74000,566
2016.09.22,21:00,100.73500,100.80400,100.73100,100.76900,677
2016.09.22,22:00,100.77300,100.86200,100.75000,100.81300,1209
2016.09.22,23:00,100.80700,100.84400,100.76200,100.82400,1559
2016.09.23,00:00,100.82400,101.16700,100.68400,101.00500,4058
2016.09.23,01:00,101.00500,101.23500,100.95000,101.22500,3023
2016.09.23,02:00,101.22500,101.22500,101.06900,101.09700,1996
2016.09.23,03:00,101.10200,101.21300,101.09400,101.15400,1716
2016.09.23,04:00,101.15500,101.19000,101.04800,101.09300,1827
2016.09.23,05:00,101.09000,101.10200,100.87200,100.98600,2430
2016.09.23,06:00,100.98800,100.99500,100.75600,100.86400,2636
2016.09.23,07:00,100.86900,101.09800,100.83000,100.98000,3361
2016.09.23,08:00,100.98000,100.99200,100.83700,100.95500,2350
2016.09.23,09:00,100.95400,100.95700,100.80000,100.91100,1865
2016.09.23,10:00,100.91300,100.91900,100.66500,100.67000,2400
2016.09.23,11:00,100.66900,100.84600,100.66800,100.82100,1702
2016.09.23,12:00,100.81900,100.83000,100.69400,100.80900,1869
2016.09.23,13:00,100.80900,101.06800,100.80600,100.95400,3448
2016.09.23,14:00,100.95300,101.10900,100.91600,100.95200,3226
2016.09.23,15:00,100.94700,101.04200,100.91300,101.03300,2327
2016.09.23,16:00,101.03400,101.05100,100.94700,100.97600,1621
2016.09.23,17:00,100.97800,101.02300,100.95700,101.00300,1593
2016.09.23,18:00,101.00100,101.09900,100.98900,101.07100,1150
2016.09.23,19:00,101.07100,101.15300,101.01100,101.04300,1417
2016.09.23,20:00,101.04200,101.05900,100.97500,101.02000,768
2016.09.25,21:00,101.04600,101.04700,100.92600,100.99800,420
2016.09.25,22:00,101.00200,101.02200,100.96600,100.97200,625
2016.09.25,23:00,100.97700,101.01000,100.84000,100.90600,886
2016.09.26,00:00,100.90700,100.90900,100.69700,100.77800,2221
2016.09.26,01:00,100.78000,100.85000,100.71300,100.83600,1782
2016.09.26,02:00,100.84100,100.99500,100.76100,100.94100,1630
